timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260323201956438835,381,221,75,11
20260323201957441602,380,221,75,0
20260323201958444321,376,221,74,0
20260323201959446279,448,221,91,0
20260323202000467070,411,221,82,0
20260323202001449838,417,221,84,0
20260323202002453463,377,221,75,0
20260323202003453837,377,221,75,0
20260323202004454438,368,221,72,0
20260323202005455183,385,221,76,0
20260323202006457268,380,221,75,0
20260323202007458001,505,221,105,0
20260323202008458465,516,221,107,0
20260323202009458979,516,221,107,0
20260323202010460256,516,221,107,0
20260323202011461314,516,221,107,0
20260323202012462385,515,221,107,0
20260323202013474056,516,221,107,0
20260323202014462810,516,221,107,0
20260323202015475672,516,221,107,0
20260323202016475047,515,221,107,0
20260323202017476688,516,221,107,0
20260323202018477130,516,221,107,0
20260323202019477589,516,221,107,0
20260323202020477054,515,220,107,0
20260323202021478229,516,220,107,0
20260323202022478700,516,220,107,0
20260323202023479386,516,220,107,0
20260323202024479031,515,220,107,0
20260323202025480437,516,221,107,0
20260323202026481179,516,221,107,0
20260323202027480773,515,221,107,0
20260323202028481414,516,220,107,0
20260323202029495294,516,220,107,0
20260323202030484590,516,220,107,0
20260323202031488421,516,220,107,0
20260323202032490727,516,220,107,0
20260323202033493816,516,220,107,1
20260323202034492288,516,220,107,1
20260323202035497281,516,220,107,1
20260323202036498458,516,220,107,1
20260323202037500499,516,220,107,1
20260323202038501521,516,220,107,1
20260323202039502725,516,220,107,1
20260323202040502766,516,220,107,1
20260323202041508886,516,220,107,1
20260323202042507964,516,220,107,1
20260323202043510813,516,220,107,1
20260323202044511696,516,220,107,1
20260323202045513868,516,220,107,1
20260323202046518587,516,220,107,1
20260323202047519855,516,220,107,1
20260323202048522525,515,221,107,1
20260323202049528179,516,220,107,1
20260323202050525792,516,221,107,1
20260323202051526954,517,220,107,1
20260323202052522644,516,220,107,1
20260323202053526391,516,220,107,1
20260323202054532838,516,220,107,1
20260323202055528317,516,221,107,1
20260323202056529775,516,221,107,1
20260323202057533246,516,221,107,1
20260323202058533540,515,221,107,1
20260323202059534483,515,221,107,1
20260323202100535362,516,221,107,1
20260323202101535865,516,221,107,1
20260323202102537392,515,221,107,1
20260323202103538904,515,221,107,1
20260323202104539787,515,221,107,1
20260323202105544409,515,221,107,1
20260323202106542265,515,221,107,2
20260323202107542705,516,221,107,2
20260323202108543622,516,221,107,2
20260323202109544856,515,221,107,2
20260323202110545936,516,221,107,2
20260323202111547120,516,221,107,2
20260323202112549650,515,221,107,2
20260323202113553812,516,220,107,2
20260323202114551438,516,220,107,2
20260323202115551983,515,221,107,2
20260323202116557945,516,221,107,2
20260323202117555135,516,221,107,2
20260323202118554389,515,221,107,2
20260323202119557627,515,221,107,2
20260323202120555878,515,221,107,2
20260323202121560702,516,221,107,2
20260323202122558650,515,221,107,2
20260323202123558894,516,221,107,2
20260323202124559656,516,221,107,2
20260323202125562173,516,221,107,2
20260323202126562667,515,221,107,2
20260323202127562933,516,221,107,2
20260323202128565424,515,221,107,2
20260323202129570183,516,221,107,2
20260323202130566905,516,221,107,2
20260323202131566811,516,221,107,2
