timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260323200112684503,580,221,122,12
20260323200113688631,574,221,120,0
20260323200114685610,591,221,124,0
20260323200115694367,546,221,114,0
20260323200116694044,528,221,110,0
20260323200117696123,512,221,106,0
20260323200118697297,503,221,104,0
20260323200119697792,508,221,105,0
20260323200120699760,512,221,106,0
20260323200121701913,518,221,108,0
20260323200122712110,518,221,108,0
20260323200123708689,586,221,123,0
20260323200124705876,586,221,123,0
20260323200125708050,587,221,123,0
20260323200126711036,594,221,125,0
20260323200127712410,586,221,123,0
20260323200128716909,586,221,123,0
20260323200129720040,586,221,123,0
20260323200130720496,586,221,123,0
20260323200131721334,589,221,124,0
20260323200132721836,595,220,125,0
20260323200133728974,586,221,123,0
20260323200134728078,586,221,123,0
20260323200135728696,586,221,123,0
20260323200136729781,586,220,123,0
20260323200137729867,586,220,123,0
20260323200138731597,594,220,125,0
20260323200139732818,586,220,123,0
20260323200140734771,586,220,123,0
20260323200141735956,586,220,123,0
20260323200142739051,586,220,123,0
20260323200143738868,586,220,123,1
20260323200144740376,594,220,125,1
20260323200145741426,586,220,123,1
20260323200146742267,586,221,123,1
20260323200147743602,586,221,123,1
20260323200148744712,586,221,123,1
20260323200149744915,588,221,124,1
20260323200150746197,594,221,125,1
20260323200151748651,587,221,123,1
20260323200152749266,586,221,123,1
20260323200153748638,586,220,123,1
20260323200154750346,586,220,123,1
20260323200155752075,589,221,124,1
20260323200156752771,594,221,125,1
20260323200157754842,586,221,123,1
20260323200158756694,586,221,123,1
20260323200159758160,586,221,123,1
20260323200200758250,586,221,123,1
20260323200201759450,586,221,123,1
20260323200202761059,594,221,125,1
20260323200203764355,586,221,123,1
20260323200204763808,586,220,123,1
20260323200205764793,586,221,123,1
20260323200206768681,586,221,123,1
20260323200207766654,586,221,123,1
20260323200208766834,594,220,125,1
20260323200209767581,586,221,123,1
20260323200210770161,586,221,123,1
20260323200211776984,586,221,123,1
20260323200212772958,586,221,123,2
20260323200213774939,588,221,124,2
20260323200214775528,594,221,125,2
20260323200215779267,586,221,123,2
20260323200216777353,586,221,123,2
20260323200217779341,586,221,123,2
20260323200218780218,586,221,123,2
20260323200219781932,589,221,124,2
20260323200220781997,594,221,125,2
20260323200221783865,586,221,123,2
20260323200222783258,586,221,123,2
20260323200223785202,586,221,123,2
20260323200224786239,586,221,123,2
20260323200225787627,586,221,123,2
20260323200226788988,594,221,125,2
20260323200227790837,586,221,123,2
20260323200228790198,586,221,123,2
20260323200229792573,586,221,123,2
20260323200230793726,586,221,123,2
20260323200231793784,587,221,123,2
20260323200232794807,594,221,125,2
20260323200233794969,587,221,123,2
20260323200234797285,586,221,123,2
20260323200235798675,586,221,123,2
20260323200236800665,586,221,123,2
20260323200237801080,588,221,124,2
20260323200238802606,593,221,125,2
20260323200239803094,586,221,123,2
20260323200240805130,586,221,123,2
20260323200241805915,586,221,123,3
20260323200242804220,586,221,123,3
20260323200243807213,587,220,123,3
20260323200244808962,594,221,125,3
20260323200245810333,586,221,123,3
20260323200246811481,586,221,123,3
20260323200247813577,586,221,123,3
20260323200248814082,586,221,123,3
20260323200249820071,586,221,123,3
20260323200250816111,593,221,125,3
20260323200251821252,586,221,123,3
20260323200252820177,586,221,123,3
20260323200253822564,586,221,123,3
20260323200254823268,586,221,123,3
20260323200255824758,587,221,123,3
20260323200256825841,594,221,125,3
20260323200257827574,586,221,123,3
20260323200258829111,586,221,123,3
20260323200259829310,586,221,123,3
20260323200300832014,586,221,123,3
20260323200301833958,588,221,124,3
20260323200302835215,593,221,125,3
20260323200303838272,586,221,123,3
20260323200304838457,586,221,123,3
20260323200305841055,586,221,123,3
20260323200306841446,586,221,123,3
20260323200307842658,586,221,123,3
20260323200308845507,594,221,125,3
20260323200309845743,586,221,123,3
20260323200310847824,586,221,123,4
20260323200311849935,586,221,123,4
20260323200312850402,586,221,123,4
20260323200313851817,586,221,123,4
20260323200314854926,593,221,125,4
20260323200315856590,586,221,123,4
20260323200316858118,586,221,123,4
20260323200317858287,586,221,123,4
20260323200318860268,586,221,123,4
20260323200319861480,587,221,123,4
20260323200320862153,594,221,125,4
20260323200321863400,586,221,123,4
20260323200322864859,586,221,123,4
20260323200323866195,586,221,123,4
20260323200324866923,586,221,123,4
20260323200325867980,589,221,124,4
20260323200326869142,595,221,125,4
20260323200327871011,587,221,123,4
20260323200328871372,586,220,123,4
20260323200329872188,587,220,123,4
20260323200330873764,587,220,123,4
20260323200331874021,586,220,123,4
20260323200332875071,595,220,125,4
20260323200333877133,586,221,123,4
20260323200334877605,586,221,123,4
20260323200335882694,586,220,123,4
20260323200336880075,586,220,123,4
20260323200337882017,586,220,123,4
20260323200338885358,594,220,125,4
20260323200339884764,586,220,123,5
20260323200340887289,586,220,123,5
20260323200341887952,586,221,123,5
20260323200342889109,586,221,123,5
20260323200343892200,587,221,123,5
20260323200344891857,594,221,125,5
20260323200345892346,586,221,123,5
20260323200346894607,586,221,123,5
20260323200347896078,586,221,123,5
20260323200348897486,586,221,123,5
20260323200349897712,589,221,124,5
20260323200350899344,594,221,125,5
20260323200351901133,586,221,123,5
20260323200352901765,586,221,123,5
20260323200353903408,586,221,123,5
20260323200354904100,586,221,123,5
20260323200355907508,586,221,123,5
20260323200356906756,594,221,125,5
20260323200357907952,586,221,123,5
20260323200358909225,586,221,123,5
20260323200359912154,586,221,123,5
20260323200400912577,586,221,123,5
20260323200401914070,586,221,123,5
20260323200402916239,593,221,125,5
20260323200403917475,586,221,123,5
20260323200404919499,586,221,123,5
20260323200405920099,586,221,123,5
20260323200406922417,586,221,123,5
20260323200407922201,587,221,123,5
20260323200408923567,594,221,125,6
20260323200409923543,587,221,123,6
20260323200410929018,586,221,123,6
20260323200411928320,586,221,123,6
20260323200412928269,586,221,123,6
20260323200413928818,586,221,123,6
20260323200414932037,594,221,125,6
20260323200415933340,586,221,123,6
20260323200416934440,586,221,123,6
20260323200417936447,586,221,123,6
20260323200418937366,586,221,123,6
20260323200419937814,586,221,123,6
20260323200420939215,594,221,125,6
20260323200421940438,586,221,123,6
20260323200422943676,586,221,123,6
20260323200423943882,586,221,123,6
20260323200424944926,586,221,123,6
20260323200425947948,586,221,123,6
20260323200426950534,594,221,125,6
20260323200427949385,586,221,123,6
20260323200428950635,586,221,123,6
20260323200429951589,586,221,123,6
20260323200430953988,585,221,123,6
20260323200431954344,587,221,124,6
20260323200432955840,593,221,125,6
20260323200433956383,586,221,123,6
20260323200434957626,586,221,123,6
20260323200435960024,586,221,123,6
20260323200436960004,586,221,123,6
20260323200437962169,586,221,123,7
20260323200438962442,594,221,125,7
20260323200439964748,586,221,123,7
20260323200440966135,586,221,123,7
20260323200441966761,586,221,123,7
20260323200442967749,586,221,123,7
20260323200443969374,586,221,123,7
20260323200444970772,593,221,125,7
20260323200445972812,586,221,123,7
20260323200446971716,586,221,123,7
20260323200447973911,586,221,123,7
20260323200448974873,586,221,123,7
20260323200449977405,586,221,123,7
20260323200450978728,593,221,125,7
20260323200451977497,586,221,123,7
20260323200452980674,586,221,123,7
20260323200453986629,586,221,123,7
