timestamp,index,name,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,temperature.gpu
2026/03/25 04:57:13.901, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 4.49, 59
2026/03/25 04:57:14.917, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 4.41, 59
2026/03/25 04:57:15.918, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 6.79, 59
2026/03/25 04:57:16.918, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 12.99, 59
2026/03/25 04:57:17.919, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 12.33, 59
2026/03/25 04:57:18.919, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 12.30, 59
2026/03/25 04:57:19.920, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 12.30, 59
2026/03/25 04:57:20.920, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 12.28, 58
2026/03/25 04:57:21.921, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 12.27, 58
2026/03/25 04:57:22.921, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 12.23, 58
2026/03/25 04:57:23.922, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 12.21, 58
2026/03/25 04:57:24.923, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 12.17, 58
2026/03/25 04:57:25.923, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 12.15, 58
2026/03/25 04:57:26.923, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 12.15, 58
2026/03/25 04:57:27.924, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 12.15, 57
2026/03/25 04:57:28.925, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 12.14, 57
2026/03/25 04:57:29.925, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 12.10, 57
2026/03/25 04:57:30.926, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 12.07, 57
2026/03/25 04:57:31.926, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 12.08, 57
2026/03/25 04:57:32.927, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 12.06, 57
2026/03/25 04:57:33.927, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 12.03, 57
2026/03/25 04:57:34.928, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 12.00, 56
2026/03/25 04:57:35.928, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 12.05, 56
2026/03/25 04:57:36.957, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 12.62, 56
2026/03/25 04:57:37.957, 0, NVIDIA GB10, 24, 0, [N/A], [N/A], 12.84, 56
2026/03/25 04:57:38.957, 0, NVIDIA GB10, 25, 0, [N/A], [N/A], 12.72, 56
2026/03/25 04:57:39.958, 0, NVIDIA GB10, 2, 0, [N/A], [N/A], 12.13, 56
2026/03/25 04:57:40.959, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 12.04, 56
2026/03/25 04:57:41.960, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 11.95, 56
2026/03/25 04:57:42.961, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 11.94, 56
2026/03/25 04:57:43.961, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 11.93, 56
2026/03/25 04:57:44.962, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 11.91, 55
