timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260323200112695058,381,221,76,10
20260323200113697963,395,220,78,0
20260323200114696495,377,221,75,0
20260323200115707158,418,221,84,0
20260323200116700530,414,221,83,0
20260323200117701973,411,221,82,0
20260323200118701697,382,221,76,0
20260323200119703136,378,221,75,0
20260323200120703449,369,221,73,0
20260323200121704611,385,221,77,0
20260323200122706473,382,221,76,0
20260323200126258639,510,221,106,0
20260323200129190048,510,221,106,0
20260323200130188332,510,221,106,0
20260323200131188914,510,221,106,0
20260323200132192046,510,220,106,0
20260323200133193998,510,221,106,0
20260323200134195915,510,221,106,0
20260323200135196796,510,221,106,0
20260323200136196188,510,220,106,0
20260323200137198662,510,220,106,0
20260323200138200037,510,220,106,0
20260323200139203045,510,221,106,0
20260323200140201341,510,220,106,0
20260323200141201507,510,220,106,0
20260323200142204680,510,220,106,0
20260323200143206576,510,220,106,0
20260323200144205843,510,220,106,0
20260323200145209024,510,220,106,0
20260323200146209586,510,221,106,0
20260323200147211027,510,221,106,0
20260323200148211399,510,221,106,0
20260323200149213057,510,221,106,1
20260323200150213216,510,221,106,1
20260323200151213456,510,221,106,1
20260323200152216390,510,221,106,1
20260323200153218075,510,220,106,1
20260323200154219588,510,221,106,1
20260323200155221293,510,221,106,1
20260323200156222089,510,221,106,1
20260323200157222994,510,221,106,1
20260323200158226313,510,221,106,1
20260323200159226647,510,221,106,1
20260323200200225984,510,221,106,1
20260323200201227739,510,221,106,1
20260323200202228527,510,221,106,1
20260323200203230282,510,221,106,1
20260323200204232948,510,220,106,1
20260323200205231622,510,221,106,1
20260323200206233682,510,221,106,1
20260323200207235064,510,221,106,1
20260323200208236309,510,220,106,1
20260323200209236567,510,221,106,1
20260323200210236868,510,221,106,1
20260323200211239820,510,221,106,1
20260323200212241775,510,221,106,1
20260323200213240669,510,221,106,1
20260323200214242936,510,221,106,1
20260323200215244097,510,221,106,1
20260323200216246518,510,221,106,1
20260323200217249228,510,221,106,1
20260323200218247464,510,221,106,1
20260323200219248156,510,221,106,1
20260323200220249478,510,221,106,1
20260323200221251448,510,221,106,1
20260323200222252476,510,221,106,1
20260323200223252998,510,221,106,2
20260323200224256049,510,221,106,2
20260323200225255798,510,221,106,2
20260323200226256214,510,221,106,2
20260323200227257779,510,221,106,2
20260323200228259992,510,221,106,2
20260323200229260717,510,221,106,2
20260323200230261673,510,221,106,2
20260323200231262605,510,221,106,2
20260323200232264222,510,221,106,2
20260323200233265111,510,221,106,2
20260323200234266386,510,221,106,2
20260323200235266515,510,221,106,2
20260323200236276926,510,221,106,2
20260323200237270071,510,221,106,2
