timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260323201341845309,578,221,122,25
20260323201342848108,578,221,122,25
20260323201343849241,601,221,127,25
20260323201344849589,559,221,117,25
20260323201345851741,544,221,113,25
20260323201346853237,509,221,106,25
20260323201347854856,501,221,104,25
20260323201348857335,510,221,106,25
20260323201349858395,501,221,104,25
20260323201350861854,527,221,110,25
20260323201351862381,517,221,108,25
20260323201352860243,585,221,123,26
20260323201353865267,589,221,124,26
20260323201354868414,588,221,124,26
20260323201355869960,587,221,124,26
20260323201356869977,595,221,126,26
20260323201357873613,588,221,124,26
20260323201358873225,588,221,124,26
20260323201359873985,588,221,124,26
20260323201400876290,588,221,124,26
20260323201401878794,588,221,124,26
20260323201402883295,596,221,126,26
20260323201403883046,588,221,124,26
20260323201404885306,588,221,124,26
20260323201408407540,588,221,124,26
20260323201411310435,588,221,124,26
20260323201412312535,588,221,124,26
20260323201413311330,588,221,124,26
20260323201414312450,596,221,126,26
20260323201415313839,588,221,124,26
20260323201416314723,588,221,124,26
20260323201417315075,588,221,124,26
20260323201418315975,588,221,124,26
20260323201419316399,588,221,124,26
20260323201420317028,595,221,126,26
20260323201421318745,588,221,124,27
20260323201422324086,588,221,124,27
20260323201423321055,588,221,124,27
20260323201424322911,588,221,124,27
20260323201425324003,588,221,124,27
20260323201426324839,596,220,126,27
20260323201427325131,589,221,124,27
20260323201428325405,589,220,124,27
20260323201429329187,589,220,124,27
20260323201430327687,589,220,124,27
20260323201431327486,589,220,124,27
20260323201432327913,598,220,126,27
20260323201433330400,590,220,124,27
20260323201434330803,589,220,124,27
20260323201435331237,589,220,124,27
20260323201436333844,589,220,124,27
20260323201437334971,590,220,124,27
20260323201438335421,598,220,126,27
20260323201439335728,589,220,124,27
20260323201440336882,589,220,124,27
20260323201441337020,589,220,124,27
20260323201442338422,590,220,124,27
20260323201443339796,589,220,124,27
20260323201444341004,597,220,126,27
20260323201445341126,589,220,124,27
20260323201446340464,589,220,124,27
20260323201447342749,589,220,124,27
20260323201448343743,589,220,124,27
20260323201449344392,589,220,124,28
20260323201450348200,598,220,126,28
