timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260323194848589830,389,220,77,6094
20260323194849591040,368,220,72,0
20260323194850591069,366,220,72,0
20260323194851594942,359,220,70,0
20260323194852596158,376,220,74,0
20260323194853594117,373,220,73,0
20260323194854597209,485,220,99,0
20260323194855597488,501,219,104,0
20260323194856600004,501,219,104,0
20260323194857599237,501,220,104,0
20260323194858599982,501,220,104,0
20260323194859601558,501,220,104,0
20260323194900603162,501,220,104,0
20260323194901604118,501,220,104,0
20260323194902605293,501,219,104,0
20260323194903607459,501,219,104,0
20260323194904608470,501,219,104,0
20260323194905610352,501,219,104,0
20260323194906612340,501,219,103,0
20260323194907613008,501,219,103,0
20260323194908614582,501,219,104,0
20260323194909616535,501,220,104,0
20260323194910617504,501,219,104,0
20260323194911619883,501,219,104,0
20260323194912621006,501,219,103,0
20260323194913621223,501,219,103,0
20260323194914621542,501,219,103,0
20260323194915622480,501,219,103,0
20260323194916625012,501,219,103,0
20260323194917626453,501,219,103,0
20260323194918627754,501,219,103,0
20260323194919628121,501,219,104,0
20260323194920629481,501,219,103,0
20260323194921630942,501,219,103,0
20260323194922631895,501,219,103,0
20260323194923633523,501,219,103,0
20260323194924636026,500,220,103,0
20260323194925637006,501,220,103,1
20260323194926637748,501,219,104,1
20260323194927638609,501,219,104,1
20260323194928640195,501,219,103,1
20260323194929642984,501,219,104,1
20260323194930643827,501,220,103,1
20260323194931646229,501,219,103,1
20260323194932647165,501,219,103,1
20260323194933647789,501,220,103,1
20260323194934649766,501,220,103,1
20260323194935650773,501,220,103,1
20260323194936650804,501,220,103,1
20260323194937652754,501,220,103,1
20260323194938657475,500,220,103,1
20260323194939655857,501,220,103,1
20260323194940656950,501,220,103,1
20260323194941659421,501,220,103,1
20260323194942661077,501,219,103,1
20260323194943661475,501,220,103,1
20260323194944662380,500,220,103,1
20260323194945663477,501,220,103,1
20260323194946665472,500,220,103,1
20260323194947666244,500,220,103,1
20260323194948672589,500,220,103,1
20260323194949673721,501,220,103,1
20260323194950671877,501,220,103,1
20260323194951674503,501,220,103,1
20260323194952675293,500,220,103,1
20260323194953676143,500,220,103,1
20260323194954677026,500,220,103,1
20260323194955677409,500,220,103,1
20260323194956680648,500,220,103,1
20260323194957681205,500,220,103,1
20260323194958682857,500,220,103,1
20260323194959683604,501,220,104,2
20260323195000695770,500,220,103,2
20260323195001696306,500,220,103,2
20260323195002697189,500,220,103,2
20260323195003698022,500,220,103,2
20260323195004698432,499,220,103,2
20260323195005699468,500,220,103,2
20260323195006699758,500,220,103,2
20260323195007700810,500,220,103,2
20260323195008701383,500,220,103,2
20260323195009702057,501,220,103,2
20260323195010702658,500,220,103,2
20260323195011703375,500,220,103,2
20260323195012704222,499,220,103,2
20260323195013706342,500,220,103,2
20260323195014706816,500,220,103,2
20260323195015707435,500,220,103,2
20260323195016708664,500,220,103,2
20260323195017710360,500,220,103,2
20260323195018711783,499,220,103,2
20260323195019715361,500,220,103,2
20260323195020715083,500,220,103,2
20260323195021717178,499,220,103,2
20260323195022719478,500,220,103,2
20260323195023719251,500,220,103,2
20260323195024721122,500,220,103,2
20260323195025721174,500,220,103,2
20260323195026723519,499,220,103,2
20260323195027724092,500,220,103,2
20260323195028725911,500,220,103,2
20260323195029728012,501,220,104,2
20260323195030728073,500,220,103,2
20260323195031729252,500,220,103,2
20260323195032730284,500,220,103,2
20260323195033732650,500,220,103,2
20260323195034734146,499,220,103,3
20260323195035735077,500,220,103,3
20260323195036736381,499,220,103,3
20260323195037738497,500,220,103,3
20260323195038740007,500,220,103,3
20260323195039741428,500,220,103,3
20260323195040742652,500,220,103,3
20260323195041743730,500,220,103,3
20260323195042745307,500,220,103,3
20260323195043746026,500,220,103,3
20260323195044748253,500,220,103,3
20260323195045749083,500,220,103,3
20260323195046750362,500,220,103,3
20260323195047752863,500,220,103,3
20260323195048756599,500,220,103,3
20260323195049755581,500,220,103,3
20260323195050755376,500,220,103,3
20260323195051759453,500,220,103,3
20260323195052758483,500,220,103,3
20260323195053760457,500,220,103,3
20260323195054771035,500,220,103,3
20260323195055763248,500,220,103,3
20260323195056763997,500,220,103,3
20260323195057770026,500,220,103,3
20260323195058767840,500,220,103,3
20260323195059769524,500,220,103,3
20260323195100770522,500,220,103,3
20260323195101772034,500,220,103,3
20260323195102774626,500,220,103,3
20260323195103775136,500,220,103,3
20260323195104775178,500,220,103,3
20260323195105776347,500,220,103,3
20260323195106776181,500,220,103,3
20260323195107777964,500,220,103,3
20260323195108779541,500,220,103,3
20260323195109779067,501,220,104,4
20260323195110780542,501,220,103,4
20260323195111780654,500,220,103,4
20260323195112781275,500,220,103,4
20260323195113782126,500,220,103,4
20260323195114783178,500,220,103,4
20260323195115785122,500,220,103,4
20260323195116783090,500,220,103,4
20260323195117784183,510,220,106,4
20260323195118784494,523,220,108,4
20260323195119784624,519,220,108,4
20260323195120786757,518,220,108,4
20260323195121787234,518,220,107,4
20260323195122788037,518,220,107,4
20260323195123788984,518,220,107,4
20260323195124790648,518,220,107,4
20260323195125791935,518,220,108,4
20260323195126794931,518,220,107,4
20260323195127795109,518,220,107,4
20260323195128796181,518,220,107,4
20260323195129797822,518,220,107,4
20260323195130798596,518,220,107,4
20260323195131799663,518,220,107,4
20260323195132802096,519,220,107,4
20260323195133802660,518,220,107,4
20260323195134803129,517,220,107,4
20260323195135803676,518,220,107,4
20260323195136805225,518,220,107,4
20260323195137806792,518,220,107,4
20260323195138808206,518,220,107,4
20260323195139807862,518,220,107,4
20260323195140809140,522,220,108,4
20260323195141810294,530,220,110,4
20260323195142810747,529,220,110,4
20260323195143811155,528,220,110,5
20260323195144812965,527,220,109,5
20260323195145812815,528,220,109,5
20260323195146813683,528,220,109,5
20260323195147813666,528,220,109,5
20260323195148817558,528,220,109,5
20260323195149815635,529,220,110,5
20260323195150814279,528,220,110,5
20260323195151818712,528,220,109,5
20260323195152818238,527,220,109,5
20260323195153819038,527,220,109,5
20260323195154820151,527,220,109,5
20260323195155822357,527,220,109,5
20260323195156823529,528,220,109,5
20260323195157825063,528,220,109,5
20260323195158826206,527,220,109,5
20260323195159827697,528,220,109,5
20260323195200831134,527,220,109,5
20260323195201829965,527,220,109,5
20260323195202831957,526,220,109,5
20260323195203833305,527,220,109,5
20260323195204836889,526,220,109,5
20260323195205834778,527,220,109,5
20260323195206835997,526,220,109,5
20260323195207839598,526,220,109,5
20260323195208840253,526,220,109,5
20260323195209841191,527,220,109,5
20260323195210843093,527,220,109,5
20260323195211844427,527,220,109,5
20260323195212846256,527,220,109,5
20260323195213847353,526,220,109,5
20260323195214848158,526,220,109,5
20260323195215849723,527,220,109,6
20260323195216849216,526,220,109,6
20260323195217852372,526,220,109,6
20260323195218852794,526,220,109,6
20260323195219854783,527,220,109,6
20260323195220854868,526,220,109,6
20260323195221857577,526,220,109,6
20260323195222859051,526,220,109,6
20260323195223859007,526,220,109,6
20260323195224861046,525,220,109,6
20260323195225861614,526,220,109,6
20260323195226863316,526,220,109,6
20260323195227863698,526,220,109,6
20260323195228865225,526,220,109,6
20260323195229867341,527,220,109,6
20260323195230869702,526,220,109,6
20260323195231872708,526,220,109,6
20260323195232873204,525,220,109,6
20260323195233875709,526,220,109,6
20260323195234874138,525,220,109,6
20260323195235875547,526,220,109,6
20260323195236877107,526,220,109,6
20260323195237878140,526,220,109,6
20260323195238879618,526,220,109,6
20260323195239880052,526,220,109,6
20260323195240883187,525,220,109,6
20260323195241882720,524,220,109,6
20260323195242884565,525,220,109,6
20260323195243883368,526,220,109,6
20260323195244884336,525,220,109,6
20260323195245885029,525,220,109,6
20260323195246885877,524,220,109,6
20260323195247886601,524,220,109,6
20260323195248888594,525,220,109,7
20260323195249889652,525,220,109,7
20260323195250891361,525,220,109,7
20260323195251895896,525,220,109,7
20260323195252896776,525,220,109,7
20260323195253897002,525,220,109,7
20260323195254897955,524,220,109,7
20260323195255899332,524,220,109,7
20260323195256899657,524,220,109,7
20260323195257901593,524,220,109,7
20260323195258902728,523,220,109,7
20260323195259903757,525,220,109,7
20260323195300904250,524,220,109,7
20260323195301907721,523,220,109,7
20260323195302909864,523,220,109,7
20260323195303909633,524,220,109,7
20260323195304911205,523,220,109,7
20260323195305913930,523,220,109,7
20260323195306913578,523,220,109,7
20260323195307915698,523,220,109,7
20260323195308917133,523,220,109,7
20260323195309919641,524,220,109,7
20260323195310919341,523,220,109,7
20260323195311921495,522,220,109,7
20260323195312922782,523,220,109,7
20260323195313925147,523,220,109,7
20260323195314926702,522,220,109,7
20260323195315927918,523,220,109,7
20260323195316928422,523,220,109,7
20260323195317929385,523,220,109,7
20260323195318931183,522,220,109,7
20260323195319933043,523,220,109,7
20260323195320935728,522,220,109,7
20260323195321937257,522,220,109,8
20260323195322938898,522,220,109,8
20260323195323938835,522,220,109,8
20260323195324940888,523,221,109,8
20260323195325943577,522,220,109,8
