timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260323200727253335,577,221,122,12
20260323200728256431,608,221,129,12
20260323200729258968,550,221,115,12
20260323200730260864,538,221,112,12
20260323200731261356,509,221,106,12
20260323200732262355,518,221,108,13
20260323200733263461,505,221,105,13
20260323200734266024,505,221,105,13
20260323200735266385,510,221,106,13
20260323200736268763,518,221,108,13
20260323200737272278,538,221,112,13
20260323200738273328,594,221,125,13
20260323200739275004,586,221,123,13
20260323200740278150,585,221,123,13
20260323200741278467,586,221,123,13
20260323200742283373,585,221,123,13
20260323200743281655,586,221,123,13
20260323200744286330,593,221,125,13
20260323200745286073,586,221,123,13
20260323200746287470,586,221,123,13
20260323200749805206,586,221,123,13
20260323200752703609,586,221,123,13
20260323200753702782,586,221,123,13
20260323200754704839,586,221,123,13
20260323200755707114,586,221,123,13
20260323200756705707,593,221,125,13
20260323200757705989,586,221,123,13
20260323200758707813,585,221,123,13
20260323200759708310,585,221,123,13
20260323200800705821,585,221,123,13
20260323200801708815,586,221,123,13
20260323200802708912,593,221,125,14
20260323200803711474,585,221,123,14
20260323200804712106,585,221,123,14
20260323200805711156,585,221,123,14
20260323200806714229,585,221,123,14
20260323200807714367,585,221,123,14
20260323200808714433,593,221,125,14
20260323200809715719,585,221,123,14
20260323200810716197,585,221,123,14
20260323200811718310,585,221,123,14
20260323200812720234,585,221,123,14
20260323200813720276,585,221,123,14
20260323200814721857,592,221,125,14
20260323200815725204,585,221,123,14
20260323200816723608,585,221,123,14
20260323200817723902,585,221,123,14
20260323200818725120,585,221,123,14
20260323200819727485,585,221,123,14
20260323200820726989,593,221,125,14
20260323200821727755,585,221,123,14
20260323200822729531,585,221,123,14
20260323200823731818,585,221,123,14
20260323200824730639,585,221,123,14
20260323200825731884,586,221,123,14
20260323200826731689,592,221,125,14
20260323200827732760,585,221,123,14
20260323200828734255,585,221,123,14
20260323200829734547,585,221,123,14
20260323200830735966,585,221,123,14
20260323200831738343,585,221,123,15
20260323200832738560,592,221,125,15
20260323200833739703,585,221,123,15
20260323200834739853,585,221,123,15
20260323200835740606,585,221,123,15
20260323200836741997,585,221,123,15
20260323200837742928,586,221,123,15
20260323200838744285,592,221,125,15
20260323200839744920,585,221,123,15
20260323200840745415,585,221,123,15
20260323200841746223,585,221,123,15
20260323200842747054,585,221,123,15
20260323200843743567,585,221,123,15
20260323200844748290,593,221,125,15
